reporting_period,reporting_date,customer_id,total_rentals,total_payment_amount
Day,2022-05-25,196,1,11.99
Day,2022-05-25,304,1,10.99
Day,2022-05-26,47,3,15.97
Day,2022-05-26,104,1,10.99
Day,2022-05-26,515,2,15.98
Day,2022-05-26,533,2,2.98
Day,2022-05-27,105,3,19.97
Day,2022-05-27,246,2,14.98
Day,2022-05-28,159,2,2.98
Day,2022-05-28,161,3,9.97
Day,2022-05-28,315,2,13.98
Day,2022-05-29,313,3,4.97
Day,2022-05-29,433,1,10.99
Day,2022-05-29,480,2,16.98
Day,2022-05-30,154,2,13.98
Day,2022-05-30,276,1,10.99
Day,2022-05-30,502,3,4.97
Day,2022-05-31,109,3,15.97
Day,2022-05-31,124,3,14.97
Day,2022-05-31,214,3,6.97
Day,2022-05-31,239,2,13.98
Day,2022-06-15,33,1,10.99
Day,2022-06-15,51,2,2.98
Day,2022-06-15,89,2,16.98
Day,2022-06-15,178,2,13.98
Day,2022-06-15,242,3,14.97
Day,2022-06-15,403,2,13.98
Day,2022-06-15,444,3,6.97
Day,2022-06-15,530,2,2.98
Day,2022-06-15,539,3,9.97
Day,2022-06-16,3,2,15.98
Day,2022-06-16,4,3,4.97
Day,2022-06-16,131,2,14.98
Day,2022-06-16,176,2,14.98
Day,2022-06-16,259,3,18.97
Day,2022-06-16,293,2,15.98
Day,2022-06-16,352,3,14.97
Day,2022-06-16,416,3,4.97
Day,2022-06-16,426,2,14.98
Day,2022-06-16,516,1,10.99
Day,2022-06-16,517,3,18.97
Day,2022-06-16,574,3,7.97
Day,2022-06-17,16,2,14.98
Day,2022-06-17,30,3,9.97
Day,2022-06-17,260,4,17.96
Day,2022-06-17,261,3,18.97
Day,2022-06-17,308,3,6.97
Day,2022-06-17,329,3,7.97
Day,2022-06-17,454,4,18.96
Day,2022-06-17,465,2,13.98
Day,2022-06-17,479,4,13.96
Day,2022-06-18,21,3,15.97
Day,2022-06-18,31,4,16.96
Day,2022-06-18,74,2,2.98
Day,2022-06-18,122,3,9.97
Day,2022-06-18,149,3,18.97
Day,2022-06-18,176,3,7.97
Day,2022-06-18,194,3,14.97
Day,2022-06-18,241,3,7.97
Day,2022-06-18,297,3,16.97
Day,2022-06-18,382,4,10.96
Day,2022-06-18,384,2,13.98
Day,2022-06-18,434,3,15.97
Day,2022-06-18,446,3,15.97
Day,2022-06-18,452,3,6.97
Day,2022-06-18,477,2,13.98
Day,2022-06-19,23,2,2.98
Day,2022-06-19,29,5,15.95
Day,2022-06-19,129,3,9.97
Day,2022-06-19,221,1,10.99
Day,2022-06-19,246,2,2.98
Day,2022-06-19,262,2,15.98
Day,2022-06-19,267,3,14.97
Day,2022-06-19,289,1,10.99
Day,2022-06-19,309,3,20.97
Day,2022-06-19,368,3,14.97
Day,2022-06-19,420,3,5.97
Day,2022-06-19,423,2,13.98
Day,2022-06-19,453,2,13.98
Day,2022-06-19,457,3,9.97
Day,2022-06-19,478,3,20.97
Day,2022-06-19,506,2,16.98
Day,2022-06-19,589,2,17.98
Day,2022-06-20,31,3,5.97
Day,2022-06-20,46,2,13.98
Day,2022-06-20,107,4,9.96
Day,2022-06-20,113,3,16.97
Day,2022-06-20,151,3,7.97
Day,2022-06-20,267,2,2.98
Day,2022-06-20,289,2,13.98
Day,2022-06-20,322,2,13.98
Day,2022-06-20,347,2,13.98
Day,2022-06-20,349,2,15.98
Day,2022-06-20,377,3,5.97
Day,2022-06-20,384,3,18.97
Day,2022-06-20,459,3,6.97
Day,2022-06-20,511,1,10.99
Day,2022-06-20,542,1,10.99
Day,2022-06-20,571,1,10.99
Day,2022-06-20,590,2,16.98
Day,2022-06-21,21,1,10.99
Day,2022-06-21,431,2,15.98
Day,2022-06-21,444,2,13.98
Day,2022-06-21,501,2,13.98
Day,2022-06-21,510,2,14.98
Day,2022-06-21,550,2,20.98
Day,2022-06-21,558,1,10.99
Day,2022-07-06,68,3,6.97
Day,2022-07-06,88,4,13.96
Day,2022-07-06,92,2,16.98
Day,2022-07-06,100,2,14.98
Day,2022-07-06,111,2,13.98
Day,2022-07-06,129,3,6.97
Day,2022-07-06,137,3,17.97
Day,2022-07-06,187,1,10.99
Day,2022-07-06,228,4,17.96
Day,2022-07-06,235,3,14.97
Day,2022-07-06,283,4,17.96
Day,2022-07-06,310,1,10.99
Day,2022-07-06,331,2,13.98
Day,2022-07-06,402,3,16.97
Day,2022-07-06,414,1,10.99
Day,2022-07-06,421,2,14.98
Day,2022-07-06,469,2,15.98
Day,2022-07-06,470,3,15.97
Day,2022-07-06,485,3,3.97
Day,2022-07-06,501,2,13.98
Day,2022-07-06,504,2,16.98
Day,2022-07-06,545,2,14.98
Day,2022-07-06,553,5,22.95
Day,2022-07-06,558,3,14.97
Day,2022-07-06,566,3,9.97
Day,2022-07-06,583,3,17.97
Day,2022-07-06,592,2,14.98
Day,2022-07-07,25,3,6.97
Day,2022-07-07,26,5,20.95
Day,2022-07-07,66,3,14.97
Day,2022-07-07,141,2,2.98
Day,2022-07-07,145,4,23.96
Day,2022-07-07,210,4,12.96
Day,2022-07-07,286,2,16.98
Day,2022-07-07,290,3,6.97
Day,2022-07-07,331,3,21.97
Day,2022-07-07,332,2,13.98
Day,2022-07-07,335,4,17.96
Day,2022-07-07,377,3,2.97
Day,2022-07-07,448,3,5.97
Day,2022-07-07,492,3,18.97
Day,2022-07-07,517,4,17.96
Day,2022-07-07,529,3,7.97
Day,2022-07-07,563,2,2.98
Day,2022-07-07,591,1,11.99
Day,2022-07-08,9,2,2.98
Day,2022-07-08,39,3,23.97
Day,2022-07-08,100,2,15.98
Day,2022-07-08,104,3,15.97
Day,2022-07-08,129,3,4.97
Day,2022-07-08,133,4,19.96
Day,2022-07-08,180,2,17.98
Day,2022-07-08,182,8,16.92
Day,2022-07-08,197,2,13.98
Day,2022-07-08,199,3,16.97
Day,2022-07-08,210,4,21.96
Day,2022-07-08,212,3,21.97
Day,2022-07-08,284,2,15.98
Day,2022-07-08,348,4,20.96
Day,2022-07-08,393,3,22.97
Day,2022-07-08,404,4,21.96
Day,2022-07-08,424,3,7.97
Day,2022-07-08,425,4,27.96
Day,2022-07-08,434,2,17.98
Day,2022-07-08,451,3,16.97
Day,2022-07-08,474,4,9.96
Day,2022-07-08,497,3,6.97
Day,2022-07-08,506,3,23.97
Day,2022-07-08,522,2,14.98
Day,2022-07-08,535,3,16.97
Day,2022-07-08,553,3,9.97
Day,2022-07-08,556,3,7.97
Day,2022-07-08,557,2,2.98
Day,2022-07-08,563,7,29.93
Day,2022-07-08,581,4,17.96
Day,2022-07-08,585,2,14.98
Day,2022-07-08,593,3,6.97
Day,2022-07-09,12,4,6.96
Day,2022-07-09,29,1,10.99
Day,2022-07-09,30,3,16.97
Day,2022-07-09,45,2,14.98
Day,2022-07-09,51,3,16.97
Day,2022-07-09,64,3,7.97
Day,2022-07-09,102,4,23.96
Day,2022-07-09,139,4,24.96
Day,2022-07-09,144,3,17.97
Day,2022-07-09,149,2,13.98
Day,2022-07-09,167,4,11.96
Day,2022-07-09,178,3,18.97
Day,2022-07-09,207,3,6.97
Day,2022-07-09,254,3,9.97
Day,2022-07-09,273,2,15.98
Day,2022-07-09,289,2,13.98
Day,2022-07-09,332,5,9.95
Day,2022-07-09,372,4,17.96
Day,2022-07-09,410,4,17.96
Day,2022-07-09,452,2,2.98
Day,2022-07-09,463,3,6.97
Day,2022-07-09,475,4,14.96
Day,2022-07-09,499,3,9.97
Day,2022-07-09,532,3,15.97
Day,2022-07-09,538,3,16.97
Day,2022-07-09,539,3,15.97
Day,2022-07-10,44,4,24.96
Day,2022-07-10,50,3,21.97
Day,2022-07-10,63,3,16.97
Day,2022-07-10,71,3,18.97
Day,2022-07-10,92,3,17.97
Day,2022-07-10,131,3,9.97
Day,2022-07-10,163,2,15.98
Day,2022-07-10,170,3,15.97
Day,2022-07-10,187,2,15.98
Day,2022-07-10,211,3,14.97
Day,2022-07-10,220,3,6.97
Day,2022-07-10,244,3,9.97
Day,2022-07-10,254,4,19.96
Day,2022-07-10,255,2,2.98
Day,2022-07-10,300,2,13.98
Day,2022-07-10,304,3,9.97
Day,2022-07-10,305,2,13.98
Day,2022-07-10,316,2,13.98
Day,2022-07-10,364,1,10.99
Day,2022-07-10,419,3,5.97
Day,2022-07-10,430,2,13.98
Day,2022-07-10,440,3,4.97
Day,2022-07-10,484,4,20.96
Day,2022-07-10,508,2,16.98
Day,2022-07-10,520,3,19.97
Day,2022-07-11,6,2,13.98
Day,2022-07-11,47,3,14.97
Day,2022-07-11,66,3,18.97
